County,Excess Mortality
"Madison County, KY",11.3 ( -8.4 - 30.9 )
"Pierce County, WA",11.3 ( 8.3 - 14.2 )
"Suffolk County, NY",11.2 ( 0.6 - 21.8 )
"Yakima County, WA",11.2 ( 3.9 - 18.5 )
"Rapides Parish, LA",11.2 ( 2.5 - 19.8 )
"Mobile County, AL",11.1 ( 5.5 - 16.7 )
"Kern County, CA",11.1 ( 7.2 - 15 )
"Monterey County, CA",11.1 ( 8.3 - 13.9 )
"Providence County, RI",11.1 ( 4.1 - 18.1 )
"Wicomico County, MD",11 ( -9.7 - 31.8 )
"Pasco County, FL",11 ( 4.1 - 17.9 )
"Dorchester County, SC",11 ( -0.4 - 22.4 )
"Henderson County, NC",10.9 ( -0.7 - 22.5 )
"Westchester County, NY",10.9 ( 4.1 - 17.6 )
"Mercer County, NJ",10.8 ( -4.5 - 26.1 )
"Anchorage Borough, AK",10.8 ( 1.4 - 20.3 )
"Jefferson County, TX",10.8 ( 7.2 - 14.4 )
"Lancaster County, PA",10.7 ( -6.8 - 28.1 )
"Jefferson County, CO",10.6 ( 8.7 - 12.5 )
"Richland County, SC",10.6 ( -0.1 - 21.3 )
"Clay County, MO",10.6 ( 4.5 - 16.7 )
"Newport News city, VA",10.6 ( 1.7 - 19.4 )
"Duval County, FL",10.5 ( -12.2 - 33.3 )
"Norfolk city, VA",10.5 ( -1.9 - 22.9 )
"Butler County, OH",10.5 ( -16.8 - 37.8 )
"Hamilton County, TN",10.3 ( -0.8 - 21.5 )
"St. Johns County, FL",10.2 ( 3.3 - 17.2 )
"Kankakee County, IL",10.2 ( -8.6 - 29 )
"Sandoval County, NM",10.2 ( 0.2 - 20.2 )
"Gaston County, NC",10.2 ( -0.8 - 21.2 )
"Citrus County, FL",10.2 ( -12.9 - 33.3 )
"Trumbull County, OH",10.1 ( -18.6 - 38.8 )
"Greene County, OH",10.1 ( -5.6 - 25.8 )
"Butte County, CA",10.1 ( -7.8 - 27.9 )
"Daviess County, KY",10 ( 0.9 - 19 )
"Prince William County, VA",10 ( 5.5 - 14.4 )
"Pickens County, SC",9.9 ( 2.4 - 17.4 )
"Boone County, KY",9.9 ( 0.2 - 19.5 )
"Luzerne County, PA",9.8 ( -0.9 - 20.5 )
"Sonoma County, CA",9.7 ( -2.6 - 21.9 )
"Grays Harbor County, WA",9.7 ( -0.5 - 19.8 )
"Webb County, TX",9.5 ( 3.9 - 15.2 )
"Lexington County, SC",9.5 ( 4.6 - 14.5 )
"Osceola County, FL",9.5 ( 2.3 - 16.7 )
"Lake County, FL",9.5 ( -3.1 - 22.1 )
"Chatham County, GA",9.5 ( 6.4 - 12.6 )
"Marion County, OR",9.5 ( 1.2 - 17.7 )
"San Diego County, CA",9.4 ( 7.8 - 10.9 )
"Wyandotte County, KS",9.4 ( 1.9 - 16.8 )
"Bronx County, NY",9.3 ( 2 - 16.6 )
"Valencia County, NM",9.2 ( -10 - 28.4 )
"Hays County, TX",9.1 ( 1.5 - 16.8 )
"Ramsey County, MN",9.1 ( 2.8 - 15.4 )
"Hamilton County, OH",9 ( -5.3 - 23.3 )
"Martin County, FL",8.9 ( -5.2 - 23.1 )
"Milwaukee County, WI",8.9 ( 4.6 - 13.1 )
"El Paso County, CO",8.9 ( 5.2 - 12.5 )
"Clark County, OH",8.8 ( -28.6 - 46.3 )
"Berkshire County, MA",8.8 ( 4.2 - 13.5 )
"Bernalillo County, NM",8.7 ( -2.4 - 19.8 )
"Pinal County, AZ",8.7 ( 2.1 - 15.3 )
"Hennepin County, MN",8.7 ( 3.6 - 13.7 )
"Washington County, PA",8.6 ( -21.3 - 38.5 )
"Passaic County, NJ",8.6 ( 0.3 - 16.9 )
"York County, SC",8.5 ( 4.7 - 12.3 )
"Van Buren County, MI",8.5 ( -4.1 - 21 )
"Stanislaus County, CA",8.4 ( 1.4 - 15.5 )
"Benton County, WA",8.3 ( 1.5 - 15 )
"Galveston County, TX",8.3 ( 3.3 - 13.3 )
"Tooele County, UT",8.3 ( -7 - 23.5 )
"Iredell County, NC",8 ( -2.6 - 18.6 )
"Riverside County, CA",8 ( 5.9 - 10.2 )
"Androscoggin County, ME",8 ( -3 - 18.9 )
"Clay County, FL",8 ( -5.7 - 21.7 )
"Jefferson County, AL",8 ( -2.3 - 18.3 )
"Polk County, FL",8 ( 2.1 - 13.8 )
"Whitfield County, GA",8 ( 0 - 16 )
"Wake County, NC",7.9 ( 4 - 11.7 )
"Greenville County, SC",7.9 ( -1.6 - 17.4 )
"San Juan County, NM",7.9 ( -4.4 - 20.1 )
"Chautauqua County, NY",7.8 ( -5.9 - 21.5 )
"Sebastian County, AR",7.8 ( -2.7 - 18.3 )
"Cumberland County, NJ",7.8 ( -18.3 - 33.9 )
"Cook County, IL",7.8 ( 0.6 - 15 )
"Elkhart County, IN",7.7 ( 0.2 - 15.3 )
"Johnston County, NC",7.6 ( 1.7 - 13.6 )
"Clayton County, GA",7.6 ( 3.2 - 12.1 )
"Cowlitz County, WA",7.6 ( 0.9 - 14.2 )
"Crawford County, PA",7.5 ( -17.6 - 32.7 )
"Douglas County, NE",7.5 ( 4.1 - 10.9 )
"Bibb County, GA",7.5 ( 2 - 13 )
"Charles County, MD",7.5 ( -6 - 20.9 )
"Ashtabula County, OH",7.4 ( -14 - 28.8 )
"District of Columbia, DC",7.4 ( -15.4 - 30.2 )
"Monroe County, NY",7.4 ( -1.7 - 16.5 )
"Orange County, CA",7.4 ( 5.8 - 9 )
"Caddo Parish, LA",7.3 ( -1.6 - 16.3 )
"Bannock County, ID",7.3 ( -0.9 - 15.5 )
"Union County, NJ",7.3 ( 0.5 - 14.1 )
"Douglas County, CO",7.2 ( 4 - 10.4 )
"Albany County, NY",7.2 ( 2.6 - 11.8 )
"St. Clair County, IL",7.2 ( -5.2 - 19.6 )
"Shasta County, CA",7.1 ( -2.6 - 16.9 )
"Berrien County, MI",7.1 ( -0.2 - 14.4 )
"Washoe County, NV",7.1 ( -1.8 - 15.9 )
"Chittenden County, VT",7 ( -4.8 - 18.8 )
"St. Clair County, AL",7 ( -17.7 - 31.6 )
"Linn County, IA",6.9 ( -0.6 - 14.5 )
"Hernando County, FL",6.9 ( -9.1 - 22.9 )
"Cherokee County, GA",6.9 ( -2.2 - 15.9 )
"Alachua County, FL",6.8 ( 3.6 - 10.1 )
"Kent County, RI",6.7 ( -9.7 - 23.2 )
"Matanuska-Susitna Borough, AK",6.7 ( -2.5 - 16 )
"Broward County, FL",6.7 ( -7.7 - 21 )
"Monmouth County, NJ",6.7 ( -4.6 - 18 )
"Vanderburgh County, IN",6.7 ( -7.9 - 21.2 )
"Douglas County, OR",6.7 ( -0.1 - 13.4 )
"Linn County, OR",6.6 ( -3.1 - 16.3 )
"Dakota County, MN",6.5 ( 2.4 - 10.6 )
"Ventura County, CA",6.5 ( 1.2 - 11.7 )
"Somerset County, PA",6.4 ( -20.4 - 33.3 )
"Cumberland County, ME",6.4 ( -4.8 - 17.7 )
"Maricopa County, AZ",6.2 ( 3.4 - 9.1 )
"Lorain County, OH",6.2 ( -18.3 - 30.8 )
"Montgomery County, TX",6.2 ( 1.3 - 11.1 )
"Okaloosa County, FL",6.1 ( -5.4 - 17.7 )
"Pima County, AZ",6.1 ( 1.5 - 10.8 )
"Tuscaloosa County, AL",6.1 ( 1.4 - 10.8 )
"Cobb County, GA",6 ( 0.7 - 11.3 )
"Pulaski County, AR",6 ( -1.1 - 13.2 )
"Fulton County, GA",6 ( 3.2 - 8.8 )
"Harris County, TX",5.9 ( 3.8 - 8.1 )
"Montgomery County, OH",5.9 ( -41.8 - 53.6 )
"Washington County, MD",5.9 ( -10.2 - 22 )
"Oakland County, MI",5.9 ( 1.5 - 10.3 )
"St. Tammany Parish, LA",5.9 ( -3.6 - 15.4 )
"Lane County, OR",5.9 ( 1.8 - 10 )
"Washington County, WI",5.8 ( -0.3 - 12 )
"Kootenai County, ID",5.8 ( 0.4 - 11.3 )
"Onslow County, NC",5.8 ( -4.2 - 15.9 )
"Franklin County, PA",5.8 ( -5.9 - 17.5 )
"Jefferson County, OH",5.8 ( -22.1 - 33.7 )
"Snohomish County, WA",5.8 ( -2.5 - 14 )
"Harrison County, MS",5.8 ( -2.9 - 14.4 )
"Sedgwick County, KS",5.7 ( 0.2 - 11.2 )
"Muscogee County, GA",5.7 ( 1.8 - 9.6 )
"Tarrant County, TX",5.7 ( 2.7 - 8.7 )
"Floyd County, GA",5.7 ( -1.4 - 12.8 )
"Washtenaw County, MI",5.6 ( -1.4 - 12.7 )
"San Joaquin County, CA",5.6 ( 1.3 - 9.9 )
"Clark County, NV",5.5 ( 1.1 - 9.9 )
"Houston County, GA",5.5 ( -2.6 - 13.5 )
"Allegheny County, PA",5.5 ( -19.8 - 30.7 )
"Queens County, NY",5.4 ( 1.6 - 9.2 )
"Henrico County, VA",5.4 ( -1.3 - 12 )
"Harnett County, NC",5.3 ( -5 - 15.7 )
"Alamance County, NC",5.3 ( -8.2 - 18.9 )
"Ellis County, TX",5.3 ( 1.1 - 9.5 )
"Lancaster County, NE",5.3 ( 2.7 - 7.9 )
"Suffolk County, MA",5.3 ( -5.8 - 16.3 )
"Montgomery County, AL",5.3 ( 2.1 - 8.4 )
"Anoka County, MN",5.2 ( -0.3 - 10.7 )
"Clallam County, WA",5.2 ( -7.3 - 17.6 )
"Winnebago County, IL",5.1 ( -13.1 - 23.4 )
"Multnomah County, OR",5.1 ( 0.9 - 9.3 )
"Bucks County, PA",5.1 ( -10.2 - 20.4 )
"Richland County, OH",5.1 ( -21.4 - 31.6 )
"York County, ME",5 ( -12 - 22.1 )
"Cleveland County, NC",5 ( -7.1 - 17.2 )
"Creek County, OK",5 ( -6.8 - 16.8 )
"Schuylkill County, PA",5 ( -24 - 33.9 )
"Stark County, OH",5 ( -6.4 - 16.3 )
"Tazewell County, IL",4.9 ( -12.4 - 22.2 )
"Madera County, CA",4.9 ( -2.1 - 11.9 )
"Palm Beach County, FL",4.9 ( -16.6 - 26.3 )
"Chester County, PA",4.9 ( -5.5 - 15.2 )
"Tulare County, CA",4.9 ( 1.3 - 8.5 )
"Davis County, UT",4.8 ( -1.4 - 11 )
"Erie County, PA",4.8 ( -16.9 - 26.5 )
"Prince George's County, MD",4.7 ( -1.4 - 10.8 )
"Madison County, AL",4.7 ( -5.3 - 14.7 )
"Los Angeles County, CA",4.7 ( 1.5 - 7.8 )
"Kent County, MI",4.6 ( -2.5 - 11.6 )
"Wayne County, MI",4.6 ( -0.1 - 9.2 )
"Cleveland County, OK",4.6 ( 0.8 - 8.3 )
"St. Louis County, MN",4.6 ( -2.8 - 11.9 )
"Clackamas County, OR",4.5 ( 0.9 - 8.1 )
"Lake County, OH",4.4 ( -14.6 - 23.5 )
"Oneida County, NY",4.4 ( -6.5 - 15.3 )
"Warren County, OH",4.4 ( -13.9 - 22.7 )
"Humboldt County, CA",4.4 ( -14.3 - 23.1 )
"Dallas County, TX",4.4 ( 2.1 - 6.7 )
"Canyon County, ID",4.4 ( 0.1 - 8.7 )
"Bell County, TX",4.4 ( -2.3 - 11.1 )
"Adams County, CO",4.3 ( -2 - 10.7 )
"Flagler County, FL",4.3 ( -6.4 - 15 )
"Forsyth County, NC",4.3 ( -2.9 - 11.5 )
"Mohave County, AZ",4.3 ( -2.7 - 11.3 )
"Henry County, GA",4.3 ( -4.6 - 13.2 )
"El Paso County, TX",4.3 ( 1 - 7.6 )
"St. Lucie County, FL",4.3 ( -9.2 - 17.8 )
"Carter County, OK",4.3 ( -2.4 - 10.9 )
"Gwinnett County, GA",4.2 ( -0.8 - 9.2 )
"Oklahoma County, OK",4.2 ( -2.3 - 10.7 )
"Baltimore city, MD",4.2 ( -15.2 - 23.6 )
"Berkeley County, SC",4.2 ( -5.4 - 13.7 )
"Contra Costa County, CA",4.1 ( 0.3 - 7.9 )
"Ingham County, MI",4.1 ( -2.6 - 10.8 )
"Rutherford County, TN",4.1 ( -0.2 - 8.4 )
"Arapahoe County, CO",4.1 ( -0.2 - 8.4 )
"Benton County, AR",4.1 ( 0.1 - 8.1 )
"Maui County, HI",4.1 ( -2.7 - 10.8 )
"Napa County, CA",4.1 ( -1.2 - 9.3 )
"Travis County, TX",4 ( 0.9 - 7.1 )
"Bergen County, NJ",4 ( 0 - 7.9 )
"Lake County, IN",3.9 ( -8.4 - 16.3 )
"Davidson County, TN",3.9 ( -7.7 - 15.5 )
"Kalamazoo County, MI",3.9 ( -9.9 - 17.7 )
"Larimer County, CO",3.9 ( -0.3 - 8.1 )
"Carroll County, GA",3.8 ( -14.8 - 22.5 )
"Lake County, IL",3.8 ( 0.9 - 6.8 )
"Washington County, TN",3.8 ( -8.9 - 16.4 )
"Fort Bend County, TX",3.8 ( 0.2 - 7.3 )
"St. Clair County, MI",3.7 ( -19 - 26.4 )
"Orange County, FL",3.7 ( -0.5 - 7.9 )
"Merrimack County, NH",3.7 ( -11 - 18.4 )
"Kings County, NY",3.7 ( 0 - 7.4 )
"Delaware County, IN",3.5 ( -5.8 - 12.7 )
"Jackson County, OR",3.4 ( -4.2 - 11.1 )
"New York County, NY",3.4 ( -1.4 - 8.2 )
"Ector County, TX",3.4 ( -10 - 16.7 )
"Peoria County, IL",3.4 ( -11.9 - 18.7 )
"DuPage County, IL",3.3 ( -0.8 - 7.5 )
"Howard County, MD",3.3 ( -5.3 - 11.9 )
"Licking County, OH",3.3 ( -10.7 - 17.3 )
"Comal County, TX",3.3 ( -2.2 - 8.8 )
"Lucas County, OH",3.2 ( -10.4 - 16.9 )
"Anne Arundel County, MD",3.2 ( -9.1 - 15.6 )
"Norfolk County, MA",3.2 ( -10.1 - 16.4 )
"Thurston County, WA",3.2 ( -1 - 7.3 )
"Guilford County, NC",3.1 ( -4.6 - 10.8 )
"San Mateo County, CA",3.1 ( -2 - 8.3 )
"Jackson County, MO",3.1 ( 1.1 - 5.1 )
"Leon County, FL",3.1 ( -0.5 - 6.6 )
"Richmond County, NY",3.1 ( -3.8 - 10 )
"Laramie County, WY",3 ( -7.6 - 13.7 )
"Warren County, KY",3 ( -5.1 - 11 )
"Mecklenburg County, NC",3 ( -2.7 - 8.6 )
"Washington County, AR",3 ( -0.3 - 6.3 )
"Hall County, GA",3 ( -1.3 - 7.2 )
"Salt Lake County, UT",3 ( -1.5 - 7.4 )
"Porter County, IN",3 ( -8 - 13.9 )
"Douglas County, GA",2.9 ( -9.6 - 15.5 )
"Guadalupe County, TX",2.9 ( 0.6 - 5.2 )
"New Haven County, CT",2.9 ( -7.2 - 12.9 )
"Washington County, UT",2.9 ( -5.6 - 11.3 )
"Rock County, WI",2.9 ( -7.5 - 13.2 )
"Collier County, FL",2.8 ( -3.2 - 8.9 )
"Onondaga County, NY",2.8 ( -10.6 - 16.3 )
"Westmoreland County, PA",2.8 ( -26.1 - 31.7 )
"Brown County, WI",2.8 ( -3.6 - 9.3 )
"Fairfield County, CT",2.8 ( -1 - 6.6 )
"Surry County, NC",2.8 ( -11.1 - 16.7 )
"Spokane County, WA",2.8 ( -7.5 - 13 )
"El Dorado County, CA",2.7 ( -4.9 - 10.3 )
"Outagamie County, WI",2.6 ( -3 - 8.3 )
"Kane County, IL",2.6 ( -4 - 9.2 )
"Utah County, UT",2.6 ( -2 - 7.1 )
"Santa Clara County, CA",2.5 ( 0.5 - 4.6 )
"St. Louis County, MO",2.4 ( -8 - 12.9 )
"Loudoun County, VA",2.4 ( -2.3 - 7.1 )
"Williamson County, TX",2.4 ( 0.5 - 4.3 )
"Merced County, CA",2.3 ( -2.9 - 7.6 )
"Dane County, WI",2.3 ( -3.2 - 7.8 )
"Montgomery County, TN",2.3 ( -8.6 - 13.1 )
"Rockingham County, NH",2.2 ( -7 - 11.5 )
"Columbia County, GA",2.2 ( -3.5 - 8 )
"Morgan County, AL",2.2 ( -3.2 - 7.6 )
"Boone County, MO",2.2 ( -3.1 - 7.4 )
"Weber County, UT",2.1 ( -8.1 - 12.4 )
"King County, WA",2.1 ( 0.1 - 4.1 )
"Ada County, ID",2.1 ( -4.1 - 8.2 )
"Shelby County, AL",2.1 ( -5.4 - 9.6 )
"Sussex County, DE",2 ( -12.6 - 16.7 )
"Deschutes County, OR",2 ( -2.9 - 6.9 )
"Hidalgo County, TX",2 ( 0.2 - 3.8 )
"Chesterfield County, VA",2 ( -7.4 - 11.4 )
"Brevard County, FL",2 ( -8.3 - 12.3 )
"Collin County, TX",2 ( -0.1 - 4 )
"Honolulu County, HI",1.9 ( -1.5 - 5.4 )
"Philadelphia County, PA",1.9 ( -14.7 - 18.6 )
"Nassau County, NY",1.9 ( -2.4 - 6.2 )
"Harford County, MD",1.9 ( -8.2 - 12 )
"Fairfax County, VA",1.9 ( -0.6 - 4.4 )
"Hamilton County, IN",1.9 ( -2.9 - 6.7 )
"Frederick County, MD",1.9 ( -19 - 22.7 )
"Yuma County, AZ",1.9 ( -7.6 - 11.3 )
"Yolo County, CA",1.8 ( -4 - 7.7 )
"Catawba County, NC",1.7 ( -11 - 14.4 )
"Middlesex County, MA",1.7 ( -6.8 - 10.3 )
"Litchfield County, CT",1.6 ( -15 - 18.2 )
"Delaware County, OH",1.6 ( -6.2 - 9.3 )
"Beaufort County, SC",1.5 ( -7.8 - 10.9 )
"Tulsa County, OK",1.5 ( -3.9 - 6.9 )
"Butler County, PA",1.4 ( -26.9 - 29.6 )
"St. Charles County, MO",1.3 ( -6.6 - 9.3 )
"Denton County, TX",1.3 ( -2.3 - 5 )
"Wichita County, TX",1.3 ( -4.7 - 7.3 )
"Fresno County, CA",1.3 ( -2.9 - 5.4 )
"Ocean County, NJ",1.2 ( -12.9 - 15.4 )
"Wagoner County, OK",1.2 ( -13 - 15.5 )
"Lycoming County, PA",1.2 ( -13.6 - 16 )
"Douglas County, KS",1.1 ( -2.3 - 4.5 )
"Miami-Dade County, FL",1.1 ( -4.1 - 6.3 )
"Marin County, CA",1.1 ( -6.2 - 8.3 )
"Pinellas County, FL",1 ( -9.2 - 11.3 )
"Berks County, PA",1 ( -11.9 - 13.8 )
"Alameda County, CA",1 ( -5.6 - 7.5 )
"Sangamon County, IL",0.9 ( -4.9 - 6.7 )
"Washington County, OR",0.8 ( -2.7 - 4.3 )
"Columbiana County, OH",0.8 ( -24 - 25.5 )
"Plymouth County, MA",0.8 ( -14.6 - 16.2 )
"Atlantic County, NJ",0.7 ( -11.5 - 13 )
"Scott County, IA",0.7 ( -8 - 9.4 )
"Johnson County, KS",0.7 ( -2.4 - 3.7 )
"Franklin County, MO",0.6 ( -18.4 - 19.6 )
"McLennan County, TX",0.6 ( -6 - 7.2 )
"Natrona County, WY",0.6 ( -13.9 - 15 )
"Brazoria County, TX",0.5 ( -5.5 - 6.5 )
"Placer County, CA",0.3 ( -5.2 - 5.8 )
"Saline County, AR",0.2 ( -13.8 - 14.3 )
"Allen County, IN",0.2 ( -7.4 - 7.8 )
"Hawaii County, HI",0.1 ( -3.1 - 3.4 )
"Hampden County, MA",0.1 ( -18.5 - 18.8 )
"Johnson County, TX",0 ( -3.6 - 3.6 )
